"","Animal.Number","Treatment.Group","Dose.Group","Time.Group"
"ID202",202,"50 MG/KG6 HR",50,6
"ID203",203,"50 MG/KG6 HR",50,6
"ID204",204,"50 MG/KG18 HR",50,18
"ID206",206,"50 MG/KG18 HR",50,18
"ID208",208,"50 MG/KG24 HR",50,24
"ID209",209,"50 MG/KG24 HR",50,24
"ID210",210,"50 MG/KG48 HR",50,48
"ID211",211,"50 MG/KG48 HR",50,48
"ID212",212,"50 MG/KG48 HR",50,48
"ID213",213,"50 MG/KG6 HR",50,6
"ID214",214,"50 MG/KG6 HR",50,6
"ID216",216,"50 MG/KG18 HR",50,18
"ID217",217,"50 MG/KG18 HR",50,18
"ID220",220,"50 MG/KG24 HR",50,24
"ID221",221,"50 MG/KG24 HR",50,24
"ID223",223,"50 MG/KG48 HR",50,48
"ID302",302,"150MG/KG6 HR",150,6
"ID303",303,"150MG/KG6 HR",150,6
"ID306",306,"150MG/KG18 HR",150,18
"ID307",307,"150MG/KG24 HR",150,24
"ID308",308,"150MG/KG24 HR",150,24
"ID310",310,"150MG/KG48 HR",150,48
"ID311",311,"150MG/KG48 HR",150,48
"ID312",312,"150MG/KG48 HR",150,48
"ID314",314,"150MG/KG6 HR",150,6
"ID315",315,"150MG/KG6 HR",150,6
"ID316",316,"150MG/KG18 HR",150,18
"ID317",317,"150MG/KG18 HR",150,18
"ID318",318,"150MG/KG18 HR",150,18
"ID319",319,"150MG/KG24 HR",150,24
"ID320",320,"150MG/KG24 HR",150,24
"ID324",324,"150MG/KG48 HR",150,48
"ID402",402,"1500MG/K6 HR",1500,6
"ID403",403,"1500MG/K6 HR",1500,6
"ID404",404,"1500MG/K18 HR",1500,18
"ID405",405,"1500MG/K18 HR",1500,18
"ID406",406,"1500MG/K18 HR",1500,18
"ID407",407,"1500MG/K24 HR",1500,24
"ID411",411,"1500MG/K48 HR",1500,48
"ID412",412,"1500MG/K48 HR",1500,48
"ID413",413,"1500MG/K6 HR",1500,6
"ID414",414,"1500MG/K6 HR",1500,6
"ID416",416,"1500MG/K18 HR",1500,18
"ID419",419,"1500MG/K24 HR",1500,24
"ID420",420,"1500MG/K24 HR",1500,24
"ID421",421,"1500MG/K24 HR",1500,24
"ID423",423,"1500MG/K48 HR",1500,48
"ID424",424,"1500MG/K48 HR",1500,48
"ID501",501,"2000MG/K6 HR",2000,6
"ID503",503,"2000MG/K6 HR",2000,6
"ID505",505,"2000MG/K18 HR",2000,18
"ID506",506,"2000MG/K18 HR",2000,18
"ID508",508,"2000MG/K24 HR",2000,24
"ID509",509,"2000MG/K24 HR",2000,24
"ID510",510,"2000MG/K48 HR",2000,48
"ID512",512,"2000MG/K48 HR",2000,48
"ID513",513,"2000MG/K6 HR",2000,6
"ID514",514,"2000MG/K6 HR",2000,6
"ID516",516,"2000MG/K18 HR",2000,18
"ID518",518,"2000MG/K18 HR",2000,18
"ID520",520,"2000MG/K24 HR",2000,24
"ID521",521,"2000MG/K24 HR",2000,24
"ID522",522,"2000MG/K48 HR",2000,48
"ID524",524,"2000MG/K48 HR",2000,48
